ticker,issuer_name,cik,sector,status,archetype_guess,config_path,last_checked_at,last_filing_date_seen,last_processed_period,activation_fail_count,notes
MO,Altria,764180,Consumer Staples,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/mo.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
AMZN,Amazon,1018724,Consumer Discretionary,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/amzn.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
AMCR,Amcor,1748790,Materials,active_needs_review,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/amcr.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
AEE,Ameren,1002910,Utilities,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/aee.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
AEP,American Electric Power,4904,Utilities,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/aep.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
AWK,American Water Works,1410636,Utilities,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/awk.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
AME,Ametek,1037868,Industrials,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/ame.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
AMGN,Amgen,318154,Health Care,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/amgn.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
APH,Amphenol,820313,Information Technology,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/aph.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
ADI,Analog Devices,6281,Information Technology,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/adi.yaml,2026-06-03T10:44:41Z,2026-05-02,,0,
APA,APA Corporation,1841666,Energy,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/apa.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
AAPL,Apple Inc.,320193,Information Technology,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/aapl.yaml,2026-06-03T10:44:41Z,2026-03-28,,0,
